"activity" "subject" "variable" "stat" "avgMeasurement"
"LAYING" 18 "tBodyGyroJerkMag" "std" -0.970649706126374
"LAYING" 18 "tBodyGyroMag" "mean" -0.926050819368132
"LAYING" 18 "tBodyGyroMag" "std" -0.920984257142857
"LAYING" 18 "tGravityAccMag" "mean" -0.927308188964286
"LAYING" 18 "tGravityAccMag" "std" -0.911415992857143
"LAYING" 20 "fBodyAccMag" "mean" -0.945418829638418
"LAYING" 20 "fBodyAccMag" "std" -0.931781082949153
"LAYING" 20 "fBodyBodyAccJerkMag" "mean" -0.974147827570621
"LAYING" 20 "fBodyBodyAccJerkMag" "std" -0.973448380367232
"LAYING" 20 "fBodyBodyGyroJerkMag" "mean" -0.978123993813559
"LAYING" 20 "fBodyBodyGyroJerkMag" "std" -0.976903371186441
"LAYING" 20 "fBodyBodyGyroMag" "mean" -0.956948281073446
"LAYING" 20 "fBodyBodyGyroMag" "std" -0.942629938333333
"LAYING" 20 "tBodyAccJerkMag" "mean" -0.978892215677966
"LAYING" 20 "tBodyAccJerkMag" "std" -0.974281451327684
"LAYING" 20 "tBodyAccMag" "mean" -0.936117390220339
"LAYING" 20 "tBodyAccMag" "std" -0.929051103209039
"LAYING" 20 "tBodyGyroJerkMag" "mean" -0.98258097319209
"LAYING" 20 "tBodyGyroJerkMag" "std" -0.976996738841808
"LAYING" 20 "tBodyGyroMag" "mean" -0.937372458163842
"LAYING" 20 "tBodyGyroMag" "std" -0.941705930169492
"LAYING" 20 "tGravityAccMag" "mean" -0.936117390220339
"LAYING" 20 "tGravityAccMag" "std" -0.929051103209039
"LAYING" 24 "fBodyAccMag" "mean" -0.961192594979003
"LAYING" 24 "fBodyAccMag" "std" -0.956544949608924
"LAYING" 24 "fBodyBodyAccJerkMag" "mean" -0.976725191706037
"LAYING" 24 "fBodyBodyAccJerkMag" "std" -0.975133846850394
"LAYING" 24 "fBodyBodyGyroJerkMag" "mean" -0.98107693664042
"LAYING" 24 "fBodyBodyGyroJerkMag" "std" -0.980012864671916
"LAYING" 24 "fBodyBodyGyroMag" "mean" -0.964077985721785
"LAYING" 24 "fBodyBodyGyroMag" "std" -0.954562976587927
"LAYING" 24 "tBodyAccJerkMag" "mean" -0.980890432703412
"LAYING" 24 "tBodyAccJerkMag" "std" -0.976479937375328
"LAYING" 24 "tBodyAccMag" "mean" -0.963721156614173
"LAYING" 24 "tBodyAccMag" "std" -0.9537289497979
"LAYING" 24 "tBodyGyroJerkMag" "mean" -0.985147069606299
"LAYING" 24 "tBodyGyroJerkMag" "std" -0.980093018635171
"LAYING" 24 "tBodyGyroMag" "mean" -0.952238268110236
"LAYING" 24 "tBodyGyroMag" "std" -0.953262564225722
"LAYING" 24 "tGravityAccMag" "mean" -0.963721156614173
"LAYING" 24 "tGravityAccMag" "std" -0.9537289497979
"SITTING" 22 "fBodyAccMag" "mean" -0.936858386363636
"SITTING" 22 "fBodyAccMag" "std" -0.901210702727273
"SITTING" 22 "fBodyBodyAccJerkMag" "mean" -0.974842368636364
"SITTING" 22 "fBodyBodyAccJerkMag" "std" -0.973228159545454
"SITTING" 22 "fBodyBodyGyroJerkMag" "mean" -0.983538418181818
"SITTING" 22 "fBodyBodyGyroJerkMag" "std" -0.981914655
"SITTING" 22 "fBodyBodyGyroMag" "mean" -0.953148771818182
"SITTING" 22 "fBodyBodyGyroMag" "std" -0.936270161818182
"SITTING" 22 "tBodyAccJerkMag" "mean" -0.979889184545454
"SITTING" 22 "tBodyAccJerkMag" "std" -0.974548153181818
"SITTING" 22 "tBodyAccMag" "mean" -0.922567117727273
"SITTING" 22 "tBodyAccMag" "std" -0.901318605
"SITTING" 22 "tBodyGyroJerkMag" "mean" -0.987238326363636
"SITTING" 22 "tBodyGyroJerkMag" "std" -0.982405635909091
"SITTING" 22 "tBodyGyroMag" "mean" -0.926635685454545
"SITTING" 22 "tBodyGyroMag" "std" -0.935797351818182
"SITTING" 22 "tGravityAccMag" "mean" -0.922567117727273
"SITTING" 22 "tGravityAccMag" "std" -0.901318605
"SITTING" 23 "fBodyAccMag" "mean" -0.94573691852957
"SITTING" 23 "fBodyAccMag" "std" -0.933611621397849
"SITTING" 23 "fBodyBodyAccJerkMag" "mean" -0.976657095591398
"SITTING" 23 "fBodyBodyAccJerkMag" "std" -0.975607376639785
"SITTING" 23 "fBodyBodyGyroJerkMag" "mean" -0.983475092446237
"SITTING" 23 "fBodyBodyGyroJerkMag" "std" -0.98244079016129
"SITTING" 23 "fBodyBodyGyroMag" "mean" -0.962732608306452
"SITTING" 23 "fBodyBodyGyroMag" "std" -0.947592041365591
"SITTING" 23 "tBodyAccJerkMag" "mean" -0.979941356370968
"SITTING" 23 "tBodyAccJerkMag" "std" -0.976631443360215
"SITTING" 23 "tBodyAccMag" "mean" -0.948117605806452
"SITTING" 23 "tBodyAccMag" "std" -0.930523077983871
"SITTING" 23 "tBodyGyroJerkMag" "mean" -0.985659642446237
"SITTING" 23 "tBodyGyroJerkMag" "std" -0.982570350860215
"SITTING" 23 "tBodyGyroMag" "mean" -0.947639313951613
"SITTING" 23 "tBodyGyroMag" "std" -0.947518312817204
"SITTING" 23 "tGravityAccMag" "mean" -0.948117605806452
"SITTING" 23 "tGravityAccMag" "std" -0.930523077983871
"SITTING" 25 "fBodyAccMag" "mean" -0.957502054229829
"SITTING" 25 "fBodyAccMag" "std" -0.949798658415648
"SITTING" 25 "fBodyBodyAccJerkMag" "mean" -0.980992347628362
"SITTING" 25 "fBodyBodyAccJerkMag" "std" -0.981112159266504
"SITTING" 25 "fBodyBodyGyroJerkMag" "mean" -0.987006916919315
"SITTING" 25 "fBodyBodyGyroJerkMag" "std" -0.98651503608802
"SITTING" 25 "fBodyBodyGyroMag" "mean" -0.967575345550122
"SITTING" 25 "fBodyBodyGyroMag" "std" -0.956423639633252
"SITTING" 25 "tBodyAccJerkMag" "mean" -0.984493551466993
"SITTING" 25 "tBodyAccJerkMag" "std" -0.98151223806846
"SITTING" 25 "tBodyAccMag" "mean" -0.960572523789731
"SITTING" 25 "tBodyAccMag" "std" -0.947150773137408
"SITTING" 25 "tBodyGyroJerkMag" "mean" -0.98952167599022
"SITTING" 25 "tBodyGyroJerkMag" "std" -0.986506295452323
"SITTING" 25 "tBodyGyroMag" "mean" -0.946605283349633
"SITTING" 25 "tBodyGyroMag" "std" -0.956018613716381
"SITTING" 25 "tGravityAccMag" "mean" -0.960572523789731
"SITTING" 25 "tGravityAccMag" "std" -0.947150773137408
"SITTING" 26 "fBodyAccMag" "mean" -0.949948130581633
"SITTING" 26 "fBodyAccMag" "std" -0.938988187196429
"SITTING" 26 "fBodyBodyAccJerkMag" "mean" -0.978359524107143
"SITTING" 26 "fBodyBodyAccJerkMag" "std" -0.977259916045918
"SITTING" 26 "fBodyBodyGyroJerkMag" "mean" -0.985319875331633
"SITTING" 26 "fBodyBodyGyroJerkMag" "std" -0.984348349132653
"SITTING" 26 "fBodyBodyGyroMag" "mean" -0.962524509005102
"SITTING" 26 "fBodyBodyGyroMag" "std" -0.95105071502551
"SITTING" 26 "tBodyAccJerkMag" "mean" -0.982582616632653
"SITTING" 26 "tBodyAccJerkMag" "std" -0.978324195382653
"SITTING" 26 "tBodyAccMag" "mean" -0.954246848877551
"SITTING" 26 "tBodyAccMag" "std" -0.936072647920918
"SITTING" 26 "tBodyGyroJerkMag" "mean" -0.988337792882653
"SITTING" 26 "tBodyGyroJerkMag" "std" -0.984543881096939
"SITTING" 26 "tBodyGyroMag" "mean" -0.94578860627551
"SITTING" 26 "tBodyGyroMag" "std" -0.950064243469388
"SITTING" 26 "tGravityAccMag" "mean" -0.954246848877551
"SITTING" 26 "tGravityAccMag" "std" -0.936072647920918
"SITTING" 27 "fBodyAccMag" "mean" -0.953872406755319
"SITTING" 27 "fBodyAccMag" "std" -0.945290086869681
"SITTING" 27 "fBodyBodyAccJerkMag" "mean" -0.97895284412234
"SITTING" 27 "fBodyBodyAccJerkMag" "std" -0.978632862925532
"SITTING" 27 "fBodyBodyGyroJerkMag" "mean" -0.985509029680851
"SITTING" 27 "fBodyBodyGyroJerkMag" "std" -0.984504345212766
"SITTING" 27 "fBodyBodyGyroMag" "mean" -0.964946716968085
"SITTING" 27 "fBodyBodyGyroMag" "std" -0.952329943696809
"SITTING" 27 "tBodyAccJerkMag" "mean" -0.982519740265957
"SITTING" 27 "tBodyAccJerkMag" "std" -0.97927749606383
"SITTING" 27 "tBodyAccMag" "mean" -0.957061817845745
"SITTING" 27 "tBodyAccMag" "std" -0.942529000494681
"SITTING" 27 "tBodyGyroJerkMag" "mean" -0.987752853324468
"SITTING" 27 "tBodyGyroJerkMag" "std" -0.984716950611702
"SITTING" 27 "tBodyGyroMag" "mean" -0.946677057765957
"SITTING" 27 "tBodyGyroMag" "std" -0.952011543882979
"SITTING" 27 "tGravityAccMag" "mean" -0.957061817845745
"SITTING" 27 "tGravityAccMag" "std" -0.942529000494681
"SITTING" 28 "fBodyAccMag" "mean" -0.958030358252427
"SITTING" 28 "fBodyAccMag" "std" -0.945747649708738
"SITTING" 28 "fBodyBodyAccJerkMag" "mean" -0.978301366456311
"SITTING" 28 "fBodyBodyAccJerkMag" "std" -0.978239549271845
"SITTING" 28 "fBodyBodyGyroJerkMag" "mean" -0.985282645145631
"SITTING" 28 "fBodyBodyGyroJerkMag" "std" -0.984700030970874
"SITTING" 28 "fBodyBodyGyroMag" "mean" -0.963983018009709
"SITTING" 28 "fBodyBodyGyroMag" "std" -0.950970747427184
"SITTING" 28 "tBodyAccJerkMag" "mean" -0.982768731213592
"SITTING" 28 "tBodyAccJerkMag" "std" -0.978742694320388
"SITTING" 28 "tBodyAccMag" "mean" -0.954426465776699
"SITTING" 28 "tBodyAccMag" "std" -0.944074951456311
"SITTING" 28 "tBodyGyroJerkMag" "mean" -0.988060211796116
"SITTING" 28 "tBodyGyroJerkMag" "std" -0.984673843592233
"SITTING" 28 "tBodyGyroMag" "mean" -0.949319013300971
"SITTING" 28 "tBodyGyroMag" "std" -0.950597862572816
"SITTING" 28 "tGravityAccMag" "mean" -0.954426465776699
"SITTING" 28 "tGravityAccMag" "std" -0.944074951456311
"STANDING" 2 "fBodyAccMag" "mean" -0.958486145
"STANDING" 2 "fBodyAccMag" "std" -0.953412374900662
"STANDING" 2 "fBodyBodyAccJerkMag" "mean" -0.972707490662252
"STANDING" 2 "fBodyBodyAccJerkMag" "std" -0.973174469172185
"STANDING" 2 "fBodyBodyGyroJerkMag" "mean" -0.976847229470199
"STANDING" 2 "fBodyBodyGyroJerkMag" "std" -0.975148823013245
"STANDING" 2 "fBodyBodyGyroMag" "mean" -0.945403987847682
"STANDING" 2 "fBodyBodyGyroMag" "std" -0.923113902880795
"STANDING" 2 "tBodyAccJerkMag" "mean" -0.978163730860927
"STANDING" 2 "tBodyAccJerkMag" "std" -0.973343859966887
"STANDING" 2 "tBodyAccMag" "mean" -0.957463646258278
"STANDING" 2 "tBodyAccMag" "std" -0.950432687748344
"STANDING" 2 "tBodyGyroJerkMag" "mean" -0.979821235993377
"STANDING" 2 "tBodyGyroJerkMag" "std" -0.975447850364238
"STANDING" 2 "tBodyGyroMag" "mean" -0.940522411258278
"STANDING" 2 "tBodyGyroMag" "std" -0.922945096622517
"STANDING" 2 "tGravityAccMag" "mean" -0.957463646258278
"STANDING" 2 "tGravityAccMag" "std" -0.950432687748344
"STANDING" 4 "fBodyAccMag" "mean" -0.954499394290221
"STANDING" 4 "fBodyAccMag" "std" -0.949195388233439
"STANDING" 4 "fBodyBodyAccJerkMag" "mean" -0.967897959716088
"STANDING" 4 "fBodyBodyAccJerkMag" "std" -0.967097340851735
"STANDING" 4 "fBodyBodyGyroJerkMag" "mean" -0.972232312681388
"STANDING" 4 "fBodyBodyGyroJerkMag" "std" -0.970677874826498
"STANDING" 4 "fBodyBodyGyroMag" "mean" -0.945408718643533
"STANDING" 4 "fBodyBodyGyroMag" "std" -0.927512469242902
"STANDING" 4 "tBodyAccJerkMag" "mean" -0.975392794542587
"STANDING" 4 "tBodyAccJerkMag" "std" -0.967977829968454
"STANDING" 4 "tBodyAccMag" "mean" -0.953767756876972
"STANDING" 4 "tBodyAccMag" "std" -0.945726294100946
"STANDING" 4 "tBodyGyroJerkMag" "mean" -0.976924592365931
"STANDING" 4 "tBodyGyroJerkMag" "std" -0.970719309432177
"STANDING" 4 "tBodyGyroMag" "mean" -0.939321761167192
"STANDING" 4 "tBodyGyroMag" "std" -0.926217972681388
"STANDING" 4 "tGravityAccMag" "mean" -0.953767756876972
"STANDING" 4 "tGravityAccMag" "std" -0.945726294100946
"STANDING" 9 "fBodyAccMag" "mean" -0.958035291076389
"STANDING" 9 "fBodyAccMag" "std" -0.953045520381944
"STANDING" 9 "fBodyBodyAccJerkMag" "mean" -0.973086173159722
"STANDING" 9 "fBodyBodyAccJerkMag" "std" -0.974244465381944
"STANDING" 9 "fBodyBodyGyroJerkMag" "mean" -0.975035930034722
"STANDING" 9 "fBodyBodyGyroJerkMag" "std" -0.974509453993056
"STANDING" 9 "fBodyBodyGyroMag" "mean" -0.946815910381944
"STANDING" 9 "fBodyBodyGyroMag" "std" -0.929210847881944
"STANDING" 9 "tBodyAccJerkMag" "mean" -0.977473488368056
"STANDING" 9 "tBodyAccJerkMag" "std" -0.973982239131944
"STANDING" 9 "tBodyAccMag" "mean" -0.9564282471875
"STANDING" 9 "tBodyAccMag" "std" -0.9500195209375
"STANDING" 9 "tBodyGyroJerkMag" "mean" -0.978105394583333
"STANDING" 9 "tBodyGyroJerkMag" "std" -0.974098449895833
"STANDING" 9 "tBodyGyroMag" "mean" -0.9415914021875
"STANDING" 9 "tBodyGyroMag" "std" -0.928122844548611
"STANDING" 9 "tGravityAccMag" "mean" -0.9564282471875
"STANDING" 9 "tGravityAccMag" "std" -0.9500195209375
"STANDING" 10 "fBodyAccMag" "mean" -0.9608207028125
"STANDING" 10 "fBodyAccMag" "std" -0.949302793229167
"STANDING" 10 "fBodyBodyAccJerkMag" "mean" -0.978606764479167
"STANDING" 10 "fBodyBodyAccJerkMag" "std" -0.979326002604167
"STANDING" 10 "fBodyBodyGyroJerkMag" "mean" -0.9831777578125
"STANDING" 10 "fBodyBodyGyroJerkMag" "std" -0.982264247604167
"STANDING" 10 "fBodyBodyGyroMag" "mean" -0.954101311354167
"STANDING" 10 "fBodyBodyGyroMag" "std" -0.932971298020833
"STANDING" 10 "tBodyAccJerkMag" "mean" -0.9818477034375
"STANDING" 10 "tBodyAccJerkMag" "std" -0.979346470104167
"STANDING" 10 "tBodyAccMag" "mean" -0.956246806770833
"STANDING" 10 "tBodyAccMag" "std" -0.94764929125
"STANDING" 10 "tBodyGyroJerkMag" "mean" -0.984637978958333
"STANDING" 10 "tBodyGyroJerkMag" "std" -0.982346360208333
"STANDING" 10 "tBodyGyroMag" "mean" -0.946495785
"STANDING" 10 "tBodyGyroMag" "std" -0.933482328541667
"STANDING" 10 "tGravityAccMag" "mean" -0.956246806770833
"STANDING" 10 "tGravityAccMag" "std" -0.94764929125
"STANDING" 28 "fBodyAccMag" "mean" -0.9717418475
"STANDING" 28 "fBodyAccMag" "std" -0.965053382897727
"STANDING" 28 "fBodyBodyAccJerkMag" "mean" -0.982580906988636
"STANDING" 28 "fBodyBodyAccJerkMag" "std" -0.982254484204545
"STANDING" 28 "fBodyBodyGyroJerkMag" "mean" -0.982158098579546
"STANDING" 28 "fBodyBodyGyroJerkMag" "std" -0.980596960170455
"STANDING" 28 "fBodyBodyGyroMag" "mean" -0.96714787625
"STANDING" 28 "fBodyBodyGyroMag" "std" -0.960250813465909
"STANDING" 28 "tBodyAccJerkMag" "mean" -0.986233653011364
"STANDING" 28 "tBodyAccJerkMag" "std" -0.982919683011364
"STANDING" 28 "tBodyAccMag" "mean" -0.967782783465909
"STANDING" 28 "tBodyAccMag" "std" -0.963957683693182
"STANDING" 28 "tBodyGyroJerkMag" "mean" -0.9865805325
"STANDING" 28 "tBodyGyroJerkMag" "std" -0.980970341136364
"STANDING" 28 "tBodyGyroMag" "mean" -0.965606525738636
"STANDING" 28 "tBodyGyroMag" "std" -0.958622994261364
"STANDING" 28 "tGravityAccMag" "mean" -0.967782783465909
"STANDING" 28 "tGravityAccMag" "std" -0.963957683693182
"STANDING" 29 "fBodyAccMag" "mean" -0.952639184040698
"STANDING" 29 "fBodyAccMag" "std" -0.945599641337209
"STANDING" 29 "fBodyBodyAccJerkMag" "mean" -0.969886571308139
"STANDING" 29 "fBodyBodyAccJerkMag" "std" -0.969922620813954
"STANDING" 29 "fBodyBodyGyroJerkMag" "mean" -0.974986203459302
"STANDING" 29 "fBodyBodyGyroJerkMag" "std" -0.973658233662791
"STANDING" 29 "fBodyBodyGyroMag" "mean" -0.949561845726744
"STANDING" 29 "fBodyBodyGyroMag" "std" -0.936247326424419
"STANDING" 29 "tBodyAccJerkMag" "mean" -0.974885727906977
"STANDING" 29 "tBodyAccJerkMag" "std" -0.97033194755814
"STANDING" 29 "tBodyAccMag" "mean" -0.948896221831395
"STANDING" 29 "tBodyAccMag" "std" -0.942333646627907
"STANDING" 29 "tBodyGyroJerkMag" "mean" -0.97763243744186
"STANDING" 29 "tBodyGyroJerkMag" "std" -0.973690107093023
"STANDING" 29 "tBodyGyroMag" "mean" -0.942312804418605
"STANDING" 29 "tBodyGyroMag" "std" -0.934431810755814
"STANDING" 29 "tGravityAccMag" "mean" -0.948896221831395
"STANDING" 29 "tGravityAccMag" "std" -0.942333646627907
"STANDING" 30 "fBodyAccMag" "mean" -0.947671217310705
"STANDING" 30 "fBodyAccMag" "std" -0.940912140891384
"STANDING" 30 "fBodyBodyAccJerkMag" "mean" -0.964874007989556
"STANDING" 30 "fBodyBodyAccJerkMag" "std" -0.963525861044386
"STANDING" 30 "fBodyBodyGyroJerkMag" "mean" -0.969912999791123
"STANDING" 30 "fBodyBodyGyroJerkMag" "std" -0.967982688250653
"STANDING" 30 "fBodyBodyGyroMag" "mean" -0.940895618381201
"STANDING" 30 "fBodyBodyGyroMag" "std" -0.920993506527415
"STANDING" 30 "tBodyAccJerkMag" "mean" -0.974084685744125
"STANDING" 30 "tBodyAccJerkMag" "std" -0.964695448302872
"STANDING" 30 "tBodyAccMag" "mean" -0.948216544203655
"STANDING" 30 "tBodyAccMag" "std" -0.936997655357702
"STANDING" 30 "tBodyGyroJerkMag" "mean" -0.975567146866841
"STANDING" 30 "tBodyGyroJerkMag" "std" -0.968136870887728
"STANDING" 30 "tBodyGyroMag" "mean" -0.934192350417755
"STANDING" 30 "tBodyGyroMag" "std" -0.919765128955614
"STANDING" 30 "tGravityAccMag" "mean" -0.948216544203655
"STANDING" 30 "tGravityAccMag" "std" -0.936997655357702
"WALKING" 1 "fBodyAccMag" "mean" -0.240534801290202
"WALKING" 1 "fBodyAccMag" "std" -0.44219319167147
"WALKING" 1 "fBodyBodyAccJerkMag" "mean" -0.17722167625245
"WALKING" 1 "fBodyBodyAccJerkMag" "std" -0.173698477767896
"WALKING" 1 "fBodyBodyGyroJerkMag" "mean" -0.455389962282997
"WALKING" 1 "fBodyBodyGyroJerkMag" "std" -0.437115145169452
"WALKING" 1 "fBodyBodyGyroMag" "mean" -0.346148193541988
"WALKING" 1 "fBodyBodyGyroMag" "std" -0.416530795726225
"WALKING" 1 "tBodyAccJerkMag" "mean" -0.215342028560231
"WALKING" 1 "tBodyAccJerkMag" "std" -0.172275573885418
"WALKING" 1 "tBodyAccMag" "mean" -0.14239665181562
"WALKING" 1 "tBodyAccMag" "std" -0.297199537341643
"WALKING" 1 "tBodyGyroJerkMag" "mean" -0.408950504112968
"WALKING" 1 "tBodyGyroJerkMag" "std" -0.428565342259078
"WALKING" 1 "tBodyGyroMag" "mean" -0.240826739504323
"WALKING" 1 "tBodyGyroMag" "std" -0.316126271935159
"WALKING" 1 "tGravityAccMag" "mean" -0.14239665181562
"WALKING" 1 "tGravityAccMag" "std" -0.297199537341643
"WALKING" 3 "fBodyAccMag" "mean" -0.274016135245308
"WALKING" 3 "fBodyAccMag" "std" -0.479908919237537
"WALKING" 3 "fBodyBodyAccJerkMag" "mean" -0.221883150800587
"WALKING" 3 "fBodyBodyAccJerkMag" "std" -0.217168935072727
"WALKING" 3 "fBodyBodyGyroJerkMag" "mean" -0.530399780038622
"WALKING" 3 "fBodyBodyGyroJerkMag" "std" -0.521382183390029
"WALKING" 3 "fBodyBodyGyroMag" "mean" -0.426156407086217
"WALKING" 3 "fBodyBodyGyroMag" "std" -0.497574468363636
"WALKING" 3 "tBodyAccJerkMag" "mean" -0.253323455203226
"WALKING" 3 "tBodyAccJerkMag" "std" -0.216735045278299
"WALKING" 3 "tBodyAccMag" "mean" -0.181489181927859
"WALKING" 3 "tBodyAccMag" "std" -0.336971710233431
"WALKING" 3 "tBodyGyroJerkMag" "mean" -0.47813495498827
"WALKING" 3 "tBodyGyroJerkMag" "std" -0.510409661311437
"WALKING" 3 "tBodyGyroMag" "mean" -0.302195942056598
"WALKING" 3 "tBodyGyroMag" "std" -0.406078519849853
"WALKING" 3 "tGravityAccMag" "mean" -0.181489181927859
"WALKING" 3 "tGravityAccMag" "std" -0.336971710233431
"WALKING" 5 "fBodyAccMag" "mean" -0.281193446447351
"WALKING" 5 "fBodyAccMag" "std" -0.477836094271523
"WALKING" 5 "fBodyBodyAccJerkMag" "mean" -0.219762324677483
"WALKING" 5 "fBodyBodyAccJerkMag" "std" -0.240188475765099
"WALKING" 5 "fBodyBodyGyroJerkMag" "mean" -0.546626441511325
"WALKING" 5 "fBodyBodyGyroJerkMag" "std" -0.554143305324503
"WALKING" 5 "fBodyBodyGyroMag" "mean" -0.433732149834437
"WALKING" 5 "fBodyBodyGyroMag" "std" -0.491513974066225
"WALKING" 5 "tBodyAccJerkMag" "mean" -0.25634941160457
"WALKING" 5 "tBodyAccJerkMag" "std" -0.225132938049007
"WALKING" 5 "tBodyAccMag" "mean" -0.168845420266808
"WALKING" 5 "tBodyAccMag" "std" -0.338779974503311
"WALKING" 5 "tBodyGyroJerkMag" "mean" -0.48073823318543
"WALKING" 5 "tBodyGyroJerkMag" "std" -0.535085611529801
"WALKING" 5 "tBodyGyroMag" "mean" -0.280377640202848
"WALKING" 5 "tBodyGyroMag" "std" -0.405675720737417
"WALKING" 5 "tGravityAccMag" "mean" -0.168845420266808
"WALKING" 5 "tGravityAccMag" "std" -0.338779974503311
"WALKING" 6 "fBodyAccMag" "mean" -0.277008874628308
"WALKING" 6 "fBodyAccMag" "std" -0.483439054061538
"WALKING" 6 "fBodyBodyAccJerkMag" "mean" -0.218594579967815
"WALKING" 6 "fBodyBodyAccJerkMag" "std" -0.242060931620462
"WALKING" 6 "fBodyBodyGyroJerkMag" "mean" -0.488873948590769
"WALKING" 6 "fBodyBodyGyroJerkMag" "std" -0.501200823423077
"WALKING" 6 "fBodyBodyGyroMag" "mean" -0.387438371302831
"WALKING" 6 "fBodyBodyGyroMag" "std" -0.460137667396615
"WALKING" 6 "tBodyAccJerkMag" "mean" -0.232673786459077
"WALKING" 6 "tBodyAccJerkMag" "std" -0.225889075198369
"WALKING" 6 "tBodyAccMag" "mean" -0.165158259013538
